long,lat
-122.45795118820404,37.39137536204766
-122.12147225641651,37.1945711515597
-122.56965715143345,37.649818207138615
-122.4659649777037,37.986285791652776
-122.76853249993711,37.59892218376935
-122.66057499050936,37.10497415575119
-122.71215354968592,37.292505123480275
-122.31910559287665,37.1291819914113
-122.20238273505979,37.103561072191305
-122.61922088701519,37.193072657461656
-122.12070223974816,37.78383630941837
-122.38395569557699,37.83968670061637
-122.33430055068901,37.759173163902624
-122.20165117299294,37.464316246989526
-122.51219091112414,37.373552322412195
-122.25786032017957,37.66428730694701
-122.37900095927931,37.7703907807778
-122.63911384882859,37.29232917456495
-122.99820661190614,37.894547239625155
-122.88943998863358,37.578211907510486
-122.69625437844934,37.12431261655743
-122.89915354258012,37.6329393059519
-122.60525244691932,37.23767314509748
-122.19050156943035,37.48234716806146
-122.10452875818633,37.42515923855189
-122.5903243825996,37.997129780514356
-122.65217480986679,37.830044122731046
-122.36604981765073,37.22417980419682
-122.21548287265854,37.11765924835259
-122.2862192962399,37.60692412519553
-122.55547955045176,37.05014873430399
-122.43951046094493,37.928175208907966
-122.30669869097699,37.97178008671701
-122.57569845638056,37.271985576565015
-122.1403533403609,37.16632378386852
-122.6165225701579,37.277425255866355
-122.044207139676,37.338980909378925
-122.72485913260817,37.1224278635804
-122.51328302561902,37.771496469997366
-122.64356082815455,37.80493234357458
-122.95405088067963,37.44130540672265
-122.71030711263586,37.39618892593872
-122.16338284700191,37.17742187085408
-122.5326475927644,37.37229670213183
-122.0489783042367,37.61006732285117
-122.99591537498276,37.063631509050865
-122.4064486204336,37.90643233791431
-122.5599356098696,37.106444356693494
-122.35009129153987,37.61906896754069
-122.31291971910227,37.856872303514166
-122.24559453772227,37.400457337755526
-122.94474710463626,37.627172490038625
-122.9695111672665,37.6048136273168
-122.72864919024128,37.01782324766687
-122.0133505048712,37.92961556324613
-122.1214422221442,37.87988575007866
-122.39102636155343,37.51651024669343
-122.80800675728703,37.19705195398327
-122.69563318977146,37.81593419618182
-122.62088546868897,37.851735054833895
-122.51644729825284,37.110142628802855
-122.94376396270061,37.73016316337644
-122.27595465608731,37.85209897857986
-122.34700901170525,37.210773638465426
-122.02766492729022,37.27235264038803
-122.88179428972649,37.341923856482595
-122.41218698791515,37.74091863846257
-122.6450756223784,37.6307090846523
-122.52457630292236,37.96120658428888
-122.66151106919231,37.84282387622159
-122.5129175387371,37.186623166584546
-122.25086120954738,37.991865910925185
-122.23945468475794,37.22877143370231
-122.34514067544136,37.80549430288903
-122.36810548288388,37.68188280717365
-122.11807216398226,37.097188320999294
-122.08072339939258,37.74303702784998
-122.09220811419037,37.516061514088
-122.42831139599409,37.63802123722549
-122.02232769554513,37.41571055769057
